Car Count,Vehicle ID,Name,Model,Year,Stock Number,Mileage,Fuel Type,MPG City,MPG Highway,Vehicle Type,Price
1,5NPD84LF9LH558602,Hyundai,Hyundai Elantra,2020,7TKXN4,74109,Gasoline,30,40,Sedan,"15,999"
2,3N1CN8EV1ML820004,Nissan,Nissan Versa,2021,7VXB5F,67039,Gasoline,32,40,Sedan,"16,499"
3,5NPD84LF6LH582422,Hyundai,Hyundai Elantra,2020,7TR9YD,68441,Gasoline,30,40,Sedan,"16,499"
4,KNDJ23AU3L7004394,Kia,Kia Soul,2020,8C1NYT,63093,Gasoline,29,35,Hatchback,"16,799"
5,KNDJ23AU5L7708161,Kia,Kia Soul,2020,8DR9G9,68335,Gasoline,29,35,Hatchback,"16,999"
6,1N4AL3AP4JC212625,Nissan,Nissan Altima,2018,8D7XQT,72923,Gasoline,27,38,Sedan,"16,999"
7,JTDEPRAE0LJ040934,Toyota,Toyota Corolla,2020,7SNYS5,68693,Gasoline,30,38,Sedan,"17,499"
8,3VWC57BU1MM007093,Volkswagen,Volkswagen Jetta,2021,7TP3T8,66688,Gasoline,29,39,Sedan,"17,999"
9,JTDEPRAEXLJ034588,Toyota,Toyota Corolla,2020,7SR5MR,63396,Gasoline,30,38,Sedan,"18,499"
10,1N4BL4BV3LC193821,Nissan,Nissan Altima,2020,7TVHTW,73205,Gasoline,28,39,Sedan,"18,499"
11,5YFEPMAEXMP178917,Toyota,Toyota Corolla,2021,7TDY19,76644,Gasoline,30,38,Sedan,"18,499"
12,5XXGT4L30KG311156,Kia,Kia Optima,2019,8DT9B2,48313,Gasoline,24,33,Sedan,"18,999"
13,1G11X5SA2JU102017,Chevrolet,Chevrolet Impala,2018,8F4V82,75748,Gasoline,22,30,Sedan,"18,999"
14,1G1ZD5STXMF023961,Chevrolet,Chevrolet Malibu,2021,7TDD4C,68427,Gasoline,29,36,Sedan,"19,499"
15,KM8K1CAA5MU658034,Hyundai,Hyundai Kona,2021,7TFP8K,60140,Gasoline,25,30,Crossover,"19,999"
16,5N1AT3BA8MC735523,Nissan,Nissan Rogue,2021,7VNL2V,75622,Gasoline,26,34,Crossover,"20,999"
17,1N4BL4BV8NN388823,Nissan,Nissan Altima,2022,8F16PG,26019,Gasoline,28,39,Sedan,"21,699"
18,3GNAXUEV9ML379821,Chevrolet,Chevrolet Equinox,2021,8F98C9,44515,Gasoline,25,30,Crossover,"22,499"
19,3C4NJDDB3MT556494,Jeep,Jeep Compass,2021,7VBL21,66147,Gasoline,22,30,Crossover,"22,499"
20,5N1AT3AB2MC695045,Nissan,Nissan Rogue,2021,8DG4DH,66662,Gasoline,26,33,Crossover,"22,499"
21,1FMCU9GD0KUB72292,Ford,Ford Escape,2019,8F8R34,38441,Gasoline,22,28,Crossover,"22,999"
22,1C4RJFBG1JC326911,Jeep,Jeep Grand Cherokee,2018,8F00K8,61622,Gasoline,18,25,Crossover,"26,999"
23,1C6RR7LG8MS535769,RAM,RAM 1500 Classic,2021,7V72X9,64013,Gasoline,16,23,Truck,"27,999"
24,1GNEVHKW7LJ164777,Chevrolet,Chevrolet Traverse,2020,7TWHY0,64693,Gasoline,17,25,Sport Utility,"28,999"
25,1C4RDJDG6LC262181,Dodge,Dodge Durango,2020,7TFTXV,72159,Gasoline,18,25,Crossover,"29,999"
26,5GAEVCKW8JJ225127,Buick,Buick Enclave,2018,8D8M5J,54463,Gasoline,17,25,Sport Utility,"31,999"
27,WBXJG9C00M5S47384,BMW,BMW X1,2021,8F753S,34984,Gasoline,23,31,Sport Utility,"32,999"
28,1GKS2BKD8MR364347,GMC,GMC Yukon,2021,7V6MND,72468,Gasoline,16,20,Sport Utility,"52,499"
29,3N1AB8CV4MY245516,Nissan,Nissan Sentra,2021,7VNC7W,65603,Gasoline,29,39,Sedan,"17,999"
30,1FMCU9GD2JUB33069,Ford,Ford Escape,2018,8FBJ94,81689,Gasoline,22,28,Crossover,"17,999"
31,JA4ARUAU3MU009108,Mitsubishi,Mitsubishi Outlander Sport,2021,7V2SVK,62940,Gasoline,23,29,Crossover,"19,499"
32,1C4PJMDX5LD612234,Jeep,Jeep Cherokee,2020,7T0HGM,72056,Gasoline,19,27,Crossover,"23,499"
33,1GCVKNEH1HZ230665,Chevrolet,Chevrolet Silverado 1500,2017,8D7CF6,76459,Flex,17,22,Truck,"24,999"
34,5TDJZRFH3JS895798,Toyota,Toyota Highlander,2018,8F5B1Y,96398,Gasoline,20,26,Sport Utility,"29,999"
35,KL8CD6SAXLC414764,Chevrolet,Chevrolet Spark,2020,7S7DD6,63054,Gasoline,30,38,Hatchback,"14,999"
